Book_1	Ch_1_1	V_1_1	Ch_1_2	V_1_2	Book_2	Ch_2_1	V_2_1	Ch_2_2	V_2_2	Reverse_ref	After_phrase_word_ref_1	After_phrase_word_ref_2	Comment	Comment_2	NT_Only										
Matthew	9	1	9	8	John	5	5	5	15	TRUE			Healing of the paralytic	43;92	TRUE										
Mark	2	1	2	12	Luke	5	17	5	26	TRUE			Healing of the paralytic	43;92	TRUE										
Mark	2	1	2	12	John	5	5	5	15	TRUE			Healing of the paralytic	43;92	TRUE										
Luke	5	17	5	26	John	5	5	5	15	TRUE			Healing of the paralytic	43;92	TRUE										
Matthew	9	9	9	13	Mark	2	13	2	17	TRUE			Call of Levi (Matthew)	44;93	TRUE										
Matthew	9	9	9	13	Luke	5	27	5	32	TRUE			Call of Levi (Matthew)	44;93	TRUE										
Mark	2	13	2	17	Luke	5	27	5	32	TRUE			Call of Levi (Matthew)	44;93	TRUE										
Matthew	9	14	9	17	Mark	2	18	2	22	TRUE			Fasting	45;94	TRUE										
Matthew	9	14	9	17	Luke	5	33	5	39	TRUE			Fasting	45;94	TRUE										
Mark	2	18	2	22	Luke	5	33	5	39	TRUE			Fasting	45;94	TRUE										
Matthew	12	1	12	8	Mark	2	23	2	28	TRUE			Plucking grain on the Sabbath	46;111	TRUE										
Matthew	12	1	12	8	Luke	6	1	6	5	TRUE			Plucking grain on the Sabbath	46;111	TRUE										
Mark	2	23	2	28	Luke	6	1	6	5	TRUE			Plucking grain on the Sabbath	46;111	TRUE										
Matthew	12	9	12	14	Mark	3	1	3	6	TRUE			Withered hand	47;112	TRUE										
Matthew	12	9	12	14	Luke	6	6	6	11	TRUE			Withered hand	47;112	TRUE										
Mark	3	1	3	6	Luke	6	6	6	11	TRUE			Withered hand	47;112	TRUE										
Matthew	10	1	10	4	Mark	3	13	3	19	TRUE			Choosing the twelve	49;99a	TRUE										
Matthew	10	1	10	4	Luke	6	12	6	16	TRUE			Choosing the twelve	49;99a	TRUE										
Mark	3	13	3	19	Luke	6	12	6	16	TRUE			Choosing the twelve	49;99a	TRUE										
Isaiah	7	14			Isaiah	8	3			TRUE			Virgin birth												
Isaiah	7	14			Isaiah	8	18			TRUE			Virgin birth												
Matthew	4	24	5	2	Mark	3	7	3	13	TRUE			Sermon	48;50;77;113	TRUE										
Matthew	4	24	5	2	Luke	6	17	6	20	TRUE			Sermon	48;50;77;113	TRUE										
Matthew	4	24	5	2	Matthew	12	15	12	21	TRUE			Sermon	48;50;77;113	TRUE										
Mark	3	7	3	13	Luke	6	17	6	20	TRUE			Sermon	48;50;77;113	TRUE										
Mark	3	7	3	13	Matthew	12	15	12	21	TRUE			Sermon	48;50;77;113	TRUE										
Luke	6	17	6	20	Matthew	12	15	12	21	TRUE			Sermon	48;50;77;113	TRUE										
Matthew	5	3	5	12	Luke	6	20	6	23	TRUE			Beatitudes	51;78	TRUE										
Matthew	5	13			Mark	9	49	9	50	TRUE			Salt of the Earth	52;168a;218	TRUE										
Matthew	5	13			Luke	14	34	14	35	TRUE			Salt of the Earth	52;168a;218	TRUE										
Mark	9	49	9	50	Luke	14	34	14	35	TRUE			Salt of the Earth	52;168a;218	TRUE										
Matthew	5	17	5	20	Luke	16	16	16	17	TRUE			Law and Prophets	54	TRUE										
Matthew	5	21	5	26	Luke	12	57	12	59	TRUE			Murder & wrath	55;206	TRUE										
Matthew	5	27	5	32	Mark	9	43	9	48	TRUE			Adultery and divorce	56	TRUE										
Matthew	5	27	5	32	Luke	16	18			TRUE			Adultery and divorce	56	TRUE										
Mark	9	43	9	48	Luke	16	18			TRUE			Adultery and divorce	56	TRUE										
Matthew	5	38	5	42	Luke	6	29	6	30	TRUE			Retaliation	58	TRUE										
Matthew	5	43	5	48	Luke	6	27	6	36	TRUE			Love of enemies	59;80	TRUE										
Matthew	6	7	6	15	Mark	11	25			TRUE			Lord’s prayer	62;185	TRUE										
Matthew	6	7	6	15	Luke	11	1	11	4	TRUE			Lord’s prayer	62;185	TRUE										
Mark	11	25			Luke	11	1	11	4	TRUE			Lord’s prayer	62;185	TRUE										
Matthew	6	19	6	21	Luke	12	33	12	34	TRUE			On Treasures	64;202	TRUE										
Matthew	6	22	6	23	Luke	11	34	11	36	TRUE			The Sound Eye	65;193	TRUE										
Matthew	6	24			Luke	16	13			TRUE			Serving two masters	66;224	TRUE										
Matthew	6	25	6	34	Luke	12	22	12	32	TRUE			Anxiety	67;201	TRUE										
Matthew	7	1	7	5	Mark	4	24	4	25	TRUE			On Judging	68;81	TRUE										
Matthew	7	1	7	5	Luke	6	37	6	42	TRUE			On Judging	68;81	TRUE										
Mark	4	24	4	25	Luke	6	37	6	42	TRUE			On Judging	68;81	TRUE										
Matthew	7	7	7	11	Luke	11	9	11	13	TRUE			Answering prayer	70;187	TRUE										
Matthew	7	12			Luke	6	31			TRUE			Golden rule	71	TRUE										
Matthew	7	13	7	14	Luke	13	23	13	24	TRUE			The Two Ways	72;211	TRUE										
Matthew	12	33	12	37	Luke	6	43	6	45	TRUE			Good tree bares good fruit	73;82;118b	TRUE										
Matthew	12	33	12	37	Matthew	7	16	7	20	TRUE			Good tree bares good fruit	73;82;118b	TRUE										
Luke	6	43	6	45	Matthew	7	16	7	20	TRUE			Good tree bares good fruit	73;82;118b	TRUE										
Matthew	7	21	7	23	Luke	6	46			TRUE			"Lord, Lord"	74	TRUE										
Matthew	7	21	7	23	Luke	13	25	13	27	TRUE			"Lord, Lord"	74	TRUE										
Luke	6	46			Luke	13	25	13	27	TRUE			"Lord, Lord"	74	TRUE										
Matthew	7	24	7	27	Luke	6	47	6	49	TRUE			House upon the rock	75;83	TRUE										
Matthew	7	28	7	29	Mark	1	21	1	22	TRUE			Effect of the sermon	76	TRUE										
Matthew	8	5	8	13	John	4	46	4	54	TRUE			Centurion of Capernaum	85	TRUE										
Matthew	8	5	8	13	Luke	7	1	7	10	TRUE			Centurion of Capernaum	85	TRUE										
John	4	46	4	54	Luke	7	1	7	10	TRUE			Centurion of Capernaum	85	TRUE										
Matthew	8	18	8	22	Luke	9	57	9	62	TRUE			Following Jesus	89;176	TRUE										
Matthew	8	23	8	27	Mark	4	35	4	41	TRUE			Stilling the storm	90;136	TRUE										
Matthew	8	23	8	27	Luke	8	22	8	25	TRUE			Stilling the storm	90;136	TRUE										
Mark	4	35	4	41	Luke	8	22	8	25	TRUE			Stilling the storm	90;136	TRUE										
Matthew	8	28	8	34	Mark	5	1	5	20	TRUE			Gadarene demoniacs	91;137	TRUE										
Matthew	8	28	8	34	Luke	8	26	8	39	TRUE			Gadarene demoniacs	91;137	TRUE										
Mark	5	1	5	20	Luke	8	26	8	39	TRUE			Gadarene demoniacs	91;137	TRUE										
Matthew	9	18	9	26	Mark	5	21	5	43	TRUE			Jairus’ Daughter	95;138	TRUE										
Matthew	9	18	9	26	Luke	8	40	8	56	TRUE			Jairus’ Daughter	95;138	TRUE										
Mark	5	21	5	43	Luke	8	40	8	56	TRUE			Jairus’ Daughter	95;138	TRUE										
Matthew	9	27	9	31	Mark	10	46	10	52	TRUE			Two blind men	96;264	TRUE										
Matthew	9	27	9	31	Luke	18	35	18	43	TRUE			Two blind men	96;264	TRUE										
Matthew	9	27	9	31	Matthew	20	29	20	34	TRUE			Two blind men	96;264	TRUE										
Mark	10	46	10	52	Luke	18	35	18	43	TRUE			Two blind men	96;264	TRUE										
Mark	10	46	10	52	Matthew	20	29	20	34	TRUE			Two blind men	96;264	TRUE										
Luke	18	35	18	43	Matthew	20	29	20	34	TRUE			Two blind men	96;264	TRUE										
Matthew	9	32	9	34	Mark	3	22	3	27	TRUE			Dumb demoniac and collusion	97;117;188	TRUE										
Matthew	9	32	9	34	Luke	11	14	11	23	TRUE			Dumb demoniac and collusion	97;117;188	TRUE										
