Book_1	Ch_1_1	V_1_1	Ch_1_2	V_1_2	Book_2	Ch_2_1	V_2_1	Ch_2_2	V_2_2	Reverse_ref	After_phrase_word_ref_1	After_phrase_word_ref_2	Comment	Comment_2	NT_Only										
Matthew	10	42	0	0	Luke	9	49	9	50	TRUE			The strange exorcist	167;104b	TRUE										
Mark	9	38	9	41	Luke	9	49	9	50	TRUE			The strange exorcist	167;104b	TRUE										
Matthew	18	6	18	9	Mark	9	42	9	48	TRUE			Warnings concerning temptation	168b;229	TRUE										
Matthew	18	6	18	9	Luke	17	1	17	2	TRUE			Warnings concerning temptation	168b;229	TRUE										
Mark	9	42	9	48	Luke	17	1	17	2	TRUE			Warnings concerning temptation	168b;229	TRUE										
Matthew	18	10	18	14	Luke	15	3	15	7	TRUE			Lost sheep	169	TRUE										
Matthew	18	15	18	18	Luke	17	3			TRUE			On reproving one’s brother	170;230	TRUE										
Matthew	18	15	18	18	John	20	23			TRUE			On reproving one’s brother	170;230	TRUE										
Luke	17	3	0	0	John	20	23	0	0	TRUE			On reproving one’s brother	170;230	TRUE										
Matthew	18	21	18	22	Luke	17	4			TRUE			On reconciliation	172	TRUE										
Matthew	19	1	19	2	Mark	10	1			TRUE			Decision to go to Jerusalem	174;251	TRUE										
Matthew	19	1	19	2	Luke	9	51			TRUE			Decision to go to Jerusalem	174;251	TRUE										
Mark	10	1	0	0	Luke	9	51	0	0	TRUE			Decision to go to Jerusalem	174;251	TRUE										
Matthew	9	37	9	38	Luke	10	1	10	12	TRUE			Commissioning the seventy	177	TRUE										
Matthew	10	7	10	16	Luke	10	1	10	12	TRUE			Commissioning the seventy	177	TRUE										
Matthew	13	16	13	17	Luke	10	23	10	24	TRUE			Blessedness of disciples	181	TRUE										
Matthew	22	34	22	40	Mark	12	28	12	34	TRUE			The great commandment	182;282	TRUE										
Matthew	22	34	22	40	Luke	10	25	10	28	TRUE			The great commandment	182;282	TRUE										
Mark	12	28	12	34	Luke	10	25	10	28	TRUE			The great commandment	182;282	TRUE										
Luke	11	33			Matthew	5	15			TRUE			Concerning light	188	TRUE										
Luke	11	33	0	0	Mark	4	21			TRUE			Concerning light	188	TRUE										
Matthew	24	42	24	51	Luke	12	35	12	48	TRUE			Watchfulness and faithfulness	203;294	TRUE										
Matthew	16	2	16	3	Luke	12	54	12	56	TRUE			Interpreting the times	205	TRUE										
Matthew	19	30			Mark	10	31			TRUE			First shall be last	211a;256a	TRUE										
Matthew	19	30	0	0	Luke	13	30			TRUE			First shall be last	211a;256a	TRUE										
Mark	10	31	0	0	Luke	13	30	0	0	TRUE			First shall be last	211a;256a	TRUE										
Matthew	8	11	8	12	Luke	13	29			TRUE			East and west	211b	TRUE										
Matthew	23	37	22	39	Luke	13	34	13	35	TRUE			Lament over Jerusalem	213;285	TRUE										
Matthew	22	1	22	14	Luke	14	15	14	24	TRUE			Parable of the great supper	216;279	TRUE										
Matthew	18	12	18	14	Luke	15	1	15	7	TRUE			Parable of the lost sheep	219	TRUE										
Matthew	11	12	11	13	Luke	16	16	16	17	TRUE			Concerning the law	226	TRUE										
Matthew	5	18			Luke	16	16	16	17	TRUE			Concerning the law	226	TRUE										
Matthew	19	9			Mark	10	11	10	12	TRUE			Concerning divorce	227	TRUE										
Matthew	19	9	0	0	Luke	16	18			TRUE			Concerning divorce	227	TRUE										
Mark	10	11	10	12	Luke	16	18	0	0	TRUE			Concerning divorce	227	TRUE										
Matthew	17	19	17	21	Mark	9	28	9	29	TRUE			On faith	231	TRUE										
Matthew	17	19	17	21	Luke	17	5	17	6	TRUE			On faith	231	TRUE										
Mark	9	28	9	29	Luke	17	5	17	6	TRUE			On faith	231	TRUE										
Matthew	19	3	19	12	Mark	10	2	10	12	TRUE			Divorce and celibacy	252	TRUE										
Matthew	19	3	19	12	Luke	16	18			TRUE			Divorce and celibacy	252	TRUE										
Mark	10	2	10	12	Luke	16	18	0	0	TRUE			Divorce and celibacy	252	TRUE										
Matthew	19	13	19	15	Mark	10	13	10	16	TRUE			Jesus blesses the children	253	TRUE										
Matthew	19	13	19	15	Luke	18	15	18	17	TRUE			Jesus blesses the children	253	TRUE										
Mark	10	13	10	16	Luke	18	15	18	17	TRUE			Jesus blesses the children	253	TRUE										
Matthew	19	16	19	22	Mark	10	17	10	22	TRUE			The rich young man	254	TRUE										
Matthew	19	16	19	22	Luke	18	18	18	23	TRUE			The rich young man	254	TRUE										
Mark	10	17	10	22	Luke	18	18	18	23	TRUE			The rich young man	254	TRUE										
Matthew	19	23	19	27	Mark	10	23	10	31	TRUE			Rich man into heaven	255a	TRUE										
Matthew	19	23	19	27	Luke	18	24	18	30	TRUE			Rich man into heaven	255a	TRUE										
Mark	10	23	10	31	Luke	18	24	18	30	TRUE			Rich man into heaven	255a	TRUE										
Matthew	19	28	19	30	Luke	22	28	22	30	TRUE			Twelve thrones	255b;313	TRUE										
Matthew	20	16			Mark	10	31			TRUE			Parable of the laborers in the vineyard	256	TRUE										
Matthew	20	16	0	0	Luke	13	30			TRUE			Parable of the laborers in the vineyard	256	TRUE										
Matthew	20	17	20	19	Mark	10	32	10	34	TRUE			Third prediction of the passion	262	TRUE										
Matthew	20	17	20	19	Luke	18	31	18	34	TRUE			Third prediction of the passion	262	TRUE										
Mark	10	32	10	34	Luke	18	31	18	34	TRUE			Third prediction of the passion	262	TRUE										
Matthew	20	20	20	28	Mark	10	35	10	45	TRUE			Sons of Zebedee	263	TRUE										
Matthew	20	20	20	28	Luke	22	24	22	27	TRUE			Sons of Zebedee	263	TRUE										
Mark	10	35	10	45	Luke	22	24	22	27	TRUE			Sons of Zebedee	263	TRUE										
Matthew	18	11			Luke	19	1	19	10	TRUE			Zaccaeus	166	TRUE										
Matthew	24	34			Mark	13	30			TRUE			This generation shall not pass away		TRUE										
Matthew	24	34	0	0	Luke	21	32			TRUE			This generation shall not pass away		TRUE										
Matthew	24	34	0	0	Hebrews	10	37			TRUE			This generation shall not pass away		TRUE										
Matthew	24	34	0	0	1 Corinthians	7	29	7	31	TRUE			This generation shall not pass away		TRUE										
Matthew	24	34	0	0	1 Thessalonians	4	15			TRUE			This generation shall not pass away		TRUE										
Matthew	24	34	0	0	2 Thessalonians	1	6	1	7	TRUE			This generation shall not pass away		TRUE										
Matthew	24	34	0	0	1 Peter	1	20			TRUE			This generation shall not pass away		TRUE										
Matthew	24	34	0	0	2 Peter	3	4			TRUE			This generation shall not pass away		TRUE										
Matthew	24	34	0	0	1 John	2	17	2	18	TRUE			This generation shall not pass away		TRUE										
Mark	13	30	0	0	Luke	21	32	0	0	TRUE			This generation shall not pass away		TRUE										
Mark	13	30	0	0	Hebrews	10	37	0	0	TRUE			This generation shall not pass away		TRUE										
Mark	13	30	0	0	1 Corinthians	7	29	7	31	TRUE			This generation shall not pass away		TRUE										
Mark	13	30	0	0	1 Thessalonians	4	15	0	0	TRUE			This generation shall not pass away		TRUE										
Mark	13	30	0	0	2 Thessalonians	1	6	1	7	TRUE			This generation shall not pass away		TRUE										
Mark	13	30	0	0	1 Peter	1	20	0	0	TRUE			This generation shall not pass away		TRUE										
Mark	13	30	0	0	2 Peter	3	4	0	0	TRUE			This generation shall not pass away		TRUE										
Mark	13	30	0	0	1 John	2	17	2	18	TRUE			This generation shall not pass away		TRUE										
Luke	21	32	0	0	Hebrews	10	37	0	0	TRUE			This generation shall not pass away		TRUE										
Luke	21	32	0	0	1 Corinthians	7	29	7	31	TRUE			This generation shall not pass away		TRUE										
Luke	21	32	0	0	1 Thessalonians	4	15	0	0	TRUE			This generation shall not pass away		TRUE										
Luke	21	32	0	0	2 Thessalonians	1	6	1	7	TRUE			This generation shall not pass away		TRUE										
Luke	21	32	0	0	1 Peter	1	20	0	0	TRUE			This generation shall not pass away		TRUE										
Luke	21	32	0	0	2 Peter	3	4	0	0	TRUE			This generation shall not pass away		TRUE										
Luke	21	32	0	0	1 John	2	17	2	18	TRUE			This generation shall not pass away		TRUE										
Hebrews	10	37	0	0	1 Corinthians	7	29	7	31	TRUE			This generation shall not pass away		TRUE										
Hebrews	10	37	0	0	1 Thessalonians	4	15	0	0	TRUE			This generation shall not pass away		TRUE										
Hebrews	10	37	0	0	2 Thessalonians	1	6	1	7	TRUE			This generation shall not pass away		TRUE										
Hebrews	10	37	0	0	1 Peter	1	20	0	0	TRUE			This generation shall not pass away		TRUE										
Hebrews	10	37	0	0	2 Peter	3	4	0	0	TRUE			This generation shall not pass away		TRUE										
Hebrews	10	37	0	0	1 John	2	17	2	18	TRUE			This generation shall not pass away		TRUE										
1 Corinthians	7	29	7	31	1 Thessalonians	4	15	0	0	TRUE			This generation shall not pass away		TRUE										
1 Corinthians	7	29	7	31	2 Thessalonians	1	6	1	7	TRUE			This generation shall not pass away		TRUE										
1 Corinthians	7	29	7	31	1 Peter	1	20	0	0	TRUE			This generation shall not pass away		TRUE										
1 Corinthians	7	29	7	31	2 Peter	3	4	0	0	TRUE			This generation shall not pass away		TRUE										
1 Corinthians	7	29	7	31	1 John	2	17	2	18	TRUE			This generation shall not pass away		TRUE										
1 Thessalonians	4	15	0	0	2 Thessalonians	1	6	1	7	TRUE			This generation shall not pass away		TRUE										
1 Thessalonians	4	15	0	0	1 Peter	1	20	0	0	TRUE			This generation shall not pass away		TRUE										
1 Thessalonians	4	15	0	0	2 Peter	3	4	0	0	TRUE			This generation shall not pass away		TRUE										
1 Thessalonians	4	15	0	0	1 John	2	17	2	18	TRUE			This generation shall not pass away		TRUE										
2 Thessalonians	1	6	1	7	1 Peter	1	20	0	0	TRUE			This generation shall not pass away		TRUE										
2 Thessalonians	1	6	1	7	2 Peter	3	4	0	0	TRUE			This generation shall not pass away		TRUE										
2 Thessalonians	1	6	1	7	1 John	2	17	2	18	TRUE			This generation shall not pass away		TRUE										
1 Peter	1	20	0	0	2 Peter	3	4	0	0	TRUE			This generation shall not pass away		TRUE										
1 Peter	1	20	0	0	1 John	2	17	2	18	TRUE			This generation shall not pass away		TRUE										
2 Peter	3	4	0	0	1 John	2	17	2	18	TRUE			This generation shall not pass away		TRUE										
Matthew	25	14	25	30	Mark	13	34			TRUE			Parable of the pounds	266;294;299	TRUE										
Matthew	25	14	25	30	Luke	19	11	19	27	TRUE			Parable of the pounds	266;294;299	TRUE										
Mark	13	34	0	0	Luke	19	11	19	27	TRUE			Parable of the pounds	266;294;299	TRUE										
Luke	24	39			1 Corinthians	15	50			TRUE			Flesh and bones		TRUE										
Matthew	27	1	27	10	Acts	1	16	1	20	TRUE			Judas’s death		TRUE										
Matthew	26	14	26	16	Mark	14	10	14	11	TRUE			Judas agrees to betray	307	TRUE										
Matthew	26	14	26	16	Luke	22	1	22	6	TRUE			Judas agrees to betray	307	TRUE										
Matthew	26	14	26	16	John	13	2			TRUE			Judas agrees to betray	307	TRUE										
Mark	14	10	14	11	Luke	22	1	22	6	TRUE			Judas agrees to betray	307	TRUE										
Mark	14	10	14	11	John	13	2	0	0	TRUE			Judas agrees to betray	307	TRUE										
Luke	22	1	22	6	John	13	2	0	0	TRUE			Judas agrees to betray	307	TRUE										
Matthew	26	17	26	20	Mark	14	12	14	17	TRUE			Preperation for the passover	308	TRUE										
Matthew	26	17	26	20	Luke	22	7	22	14	TRUE			Preperation for the passover	308	TRUE										
Mark	14	12	14	17	Luke	22	7	22	14	TRUE			Preperation for the passover	308	TRUE										
Matthew	26	21	26	25	Mark	14	18	14	21	TRUE			Jesus foretells his betrayal	310	TRUE										
Matthew	26	21	26	25	Luke	22	21	22	23	TRUE			Jesus foretells his betrayal	310	TRUE										
Matthew	26	21	26	25	John	13	21	13	30	TRUE			Jesus foretells his betrayal	310	TRUE										
Matthew	26	21	26	25	1 Corinthians	11	23			TRUE			Jesus foretells his betrayal	310	TRUE										
Mark	14	18	14	21	Luke	22	21	22	23	TRUE			Jesus foretells his betrayal	310	TRUE										
Mark	14	18	14	21	John	13	21	13	30	TRUE			Jesus foretells his betrayal	310	TRUE										
Mark	14	18	14	21	1 Corinthians	11	23	0	0	TRUE			Jesus foretells his betrayal	310	TRUE										
Luke	22	21	22	23	John	13	21	13	30	TRUE			Jesus foretells his betrayal	310	TRUE										
Luke	22	21	22	23	1 Corinthians	11	23	0	0	TRUE			Jesus foretells his betrayal	310	TRUE										
John	13	21	13	30	1 Corinthians	11	23	0	0	TRUE			Jesus foretells his betrayal	310	TRUE										
Matthew	26	30	26	35	Mark	14	26	14	31	TRUE			Jesus predicts Peter’s denial	315	TRUE										
Matthew	26	30	26	35	Luke	22	31	22	34	TRUE			Jesus predicts Peter’s denial	315	TRUE										
Matthew	26	30	26	35	John	13	36	13	38	TRUE			Jesus predicts Peter’s denial	315	TRUE										
Mark	14	26	14	31	Luke	22	31	22	34	TRUE			Jesus predicts Peter’s denial	315	TRUE										
Mark	14	26	14	31	John	13	36	13	38	TRUE			Jesus predicts Peter’s denial	315	TRUE										
Luke	22	31	22	34	John	13	36	13	38	TRUE			Jesus predicts Peter’s denial	315	TRUE										
Matthew	26	36	26	46	Mark	14	32	14	42	TRUE			Prayer in Gethsemane	330	TRUE										
Matthew	26	36	26	46	Luke	22	39	22	46	TRUE			Prayer in Gethsemane	330	TRUE										
Matthew	26	36	26	46	John	18	1			TRUE			Prayer in Gethsemane	330	TRUE										
Mark	14	32	14	42	Luke	22	39	22	46	TRUE			Prayer in Gethsemane	330	TRUE										
Mark	14	32	14	42	John	18	1	0	0	TRUE			Prayer in Gethsemane	330	TRUE										
Luke	22	39	22	46	John	18	1	0	0	TRUE			Prayer in Gethsemane	330	TRUE										
Matthew	26	47	26	56	Mark	14	43	14	52	TRUE			Jesus’s arrest	331	TRUE										
Matthew	26	47	26	56	Luke	22	47	22	53	TRUE			Jesus’s arrest	331	TRUE										
Matthew	26	47	26	56	John	18	2	18	12	TRUE			Jesus’s arrest	331	TRUE										
Mark	14	43	14	52	Luke	22	47	22	53	TRUE			Jesus’s arrest	331	TRUE										
Mark	14	43	14	52	John	18	2	18	12	TRUE			Jesus’s arrest	331	TRUE										
Luke	22	47	22	53	John	18	2	18	12	TRUE			Jesus’s arrest	331	TRUE										
John	19	34			John	20	25			TRUE			Spear in Jesus’s side		TRUE										
John	19	34			John	20	27			TRUE			Spear in Jesus’s side		TRUE										
Matthew	26	57	26	68	Mark	14	53	14	65	TRUE			Trial by the sanhedrin	332	TRUE										
Matthew	26	57	26	68	Luke	22	66	22	71	TRUE			Trial by the sanhedrin	332	TRUE										
Matthew	26	57	26	68	John	18	19	18	24	TRUE			Trial by the sanhedrin	332	TRUE										
Mark	14	53	14	65	Luke	22	66	22	71	TRUE			Trial by the sanhedrin	332	TRUE										
Mark	14	53	14	65	John	18	19	18	24	TRUE			Trial by the sanhedrin	332	TRUE										
Luke	22	66	22	71	John	18	19	18	24	TRUE			Trial by the sanhedrin	332	TRUE										
Matthew	26	69	26	75	Mark	14	66	14	72	TRUE			Peter disowns Jesus	333	TRUE										
Matthew	26	69	26	75	Luke	22	54	22	62	TRUE			Peter disowns Jesus	333	TRUE										
Matthew	26	69	26	75	John	18	15	18	18	TRUE			Peter disowns Jesus	333	TRUE										
Matthew	26	69	26	75	John	18	25	18	27	TRUE			Peter disowns Jesus	333	TRUE										
Mark	14	66	14	72	Luke	22	54	22	62	TRUE			Peter disowns Jesus	333	TRUE										
Mark	14	66	14	72	John	18	15	18	18	TRUE			Peter disowns Jesus	333	TRUE										
Mark	14	66	14	72	John	18	25	18	27	TRUE			Peter disowns Jesus	333	TRUE										
Luke	22	54	22	62	John	18	15	18	18	TRUE			Peter disowns Jesus	333	TRUE										
Luke	22	54	22	62	John	18	25	18	27	TRUE			Peter disowns Jesus	333	TRUE										
John	18	15	18	18	John	18	25	18	27	TRUE			Peter disowns Jesus	333	TRUE										
Matthew	27	11	27	14	Mark	15	1	15	5	TRUE			Jesus’s trial with Pilate	336	TRUE										
Matthew	27	11	27	14	Luke	23	1	23	16	TRUE			Jesus’s trial with Pilate	336	TRUE										
Matthew	27	11	27	14	John	18	28	18	38	TRUE			Jesus’s trial with Pilate	336	TRUE										
Mark	15	1	15	5	Luke	23	1	23	16	TRUE			Jesus’s trial with Pilate	336	TRUE										
Mark	15	1	15	5	John	18	28	18	38	TRUE			Jesus’s trial with Pilate	336	TRUE										
Luke	23	1	23	16	John	18	28	18	38	TRUE			Jesus’s trial with Pilate	336	TRUE										
Matthew	27	15	27	23	Mark	15	6	15	14	TRUE			Jesus or Barabus	339	TRUE										
Matthew	27	15	27	23	Luke	23	17	23	23	TRUE			Jesus or Barabus	339	TRUE										
Matthew	27	15	27	23	John	18	39	18	40	TRUE			Jesus or Barabus	339	TRUE										
Mark	15	6	15	14	Luke	23	17	23	23	TRUE			Jesus or Barabus	339	TRUE										
Mark	15	6	15	14	John	18	39	18	40	TRUE			Jesus or Barabus	339	TRUE										
Luke	23	17	23	23	John	18	39	18	40	TRUE			Jesus or Barabus	339	TRUE										
Matthew	27	24	27	26	Mark	15	15			TRUE			Jesus delivered to be crucified	340;341	TRUE										
Matthew	27	24	27	26	Luke	23	24	23	25	TRUE			Jesus delivered to be crucified	340;341	TRUE										
Matthew	27	24	27	26	John	19	1	19	16	TRUE			Jesus delivered to be crucified	340;341	TRUE										
Mark	15	15	0	0	Luke	23	24	23	25	TRUE			Jesus delivered to be crucified	340;341	TRUE										
Mark	15	15	0	0	John	19	1	19	16	TRUE			Jesus delivered to be crucified	340;341	TRUE										
Luke	23	24	23	25	John	19	1	19	16	TRUE			Jesus delivered to be crucified	340;341	TRUE										
Matthew	26	64			Mark	14	62			TRUE			Jesus responds to the Sanhedrin	332a	TRUE										
Matthew	26	64	0	0	Luke	22	69			TRUE			Jesus responds to the Sanhedrin	332a	TRUE										
Matthew	26	64	0	0	John	18	20	18	23	TRUE			Jesus responds to the Sanhedrin	332a	TRUE										
Mark	14	62	0	0	Luke	22	69	0	0	TRUE			Jesus responds to the Sanhedrin	332a	TRUE										
Mark	14	62	0	0	John	18	20	18	23	TRUE			Jesus responds to the Sanhedrin	332a	TRUE										
Luke	22	69	0	0	John	18	20	18	23	TRUE			Jesus responds to the Sanhedrin	332a	TRUE										
Matthew	27	27	27	31	Mark	15	16	15	20	TRUE			Jesus mocked by the soldiers	342	TRUE										
Matthew	27	27	27	31	Luke	22	63	22	65	TRUE			Jesus mocked by the soldiers	342	TRUE										
Matthew	27	27	27	31	John	19	1	19	3	TRUE			Jesus mocked by the soldiers	342	TRUE										
Mark	15	16	15	20	Luke	22	63	22	65	TRUE			Jesus mocked by the soldiers	342	TRUE										
Mark	15	16	15	20	John	19	1	19	3	TRUE			Jesus mocked by the soldiers	342	TRUE										
Luke	22	63	22	65	John	19	1	19	3	TRUE			Jesus mocked by the soldiers	342	TRUE										
Matthew	27	32			Mark	15	21			TRUE			The road to Golgotha	343	TRUE										
Matthew	27	32	0	0	Luke	23	26	23	32	TRUE			The road to Golgotha	343	TRUE										
Matthew	27	32	0	0	John	19	17			TRUE			The road to Golgotha	343	TRUE										
Mark	15	21	0	0	Luke	23	26	23	32	TRUE			The road to Golgotha	343	TRUE										
Mark	15	21	0	0	John	19	17	0	0	TRUE			The road to Golgotha	343	TRUE										
Luke	23	26	23	32	John	19	17	0	0	TRUE			The road to Golgotha	343	TRUE										
Matthew	27	33	27	44	Mark	15	22	15	32	TRUE			Crucifixion	344;345;346	TRUE										
Matthew	27	33	27	44	Luke	23	33	23	43	TRUE			Crucifixion	344;345;346	TRUE										
Matthew	27	33	27	44	John	19	18	19	27	TRUE			Crucifixion	344;345;346	TRUE										
Mark	15	22	15	32	Luke	23	33	23	43	TRUE			Crucifixion	344;345;346	TRUE										
Mark	15	22	15	32	John	19	18	19	27	TRUE			Crucifixion	344;345;346	TRUE										
Luke	23	33	23	43	John	19	18	19	27	TRUE			Crucifixion	344;345;346	TRUE										
Matthew	27	45	27	56	Mark	15	33	15	41	TRUE			Death of Jesus	347;348;349	TRUE										
Matthew	27	45	27	56	Luke	23	44	23	49	TRUE			Death of Jesus	347;348;349	TRUE										
Matthew	27	45	27	56	John	19	28	19	37	TRUE			Death of Jesus	347;348;349	TRUE										
Mark	15	33	15	41	Luke	23	44	23	49	TRUE			Death of Jesus	347;348;349	TRUE										
Mark	15	33	15	41	John	19	28	19	37	TRUE			Death of Jesus	347;348;349	TRUE										
Luke	23	44	23	49	John	19	28	19	37	TRUE			Death of Jesus	347;348;349	TRUE										
Matthew	27	44			Mark	15	32			TRUE			Jesus and the criminals on the cross		TRUE										
Matthew	27	44	0	0	Luke	23	39	23	43	TRUE			Jesus and the criminals on the cross		TRUE										
Mark	15	32	0	0	Luke	23	39	23	43	TRUE			Jesus and the criminals on the cross		TRUE										
Matthew	27	57	27	61	Mark	15	42	15	47	TRUE			Burial of Jesus	350	TRUE										
Matthew	27	57	27	61	Luke	23	50	23	56	TRUE			Burial of Jesus	350	TRUE										
Matthew	27	57	27	61	John	19	38	19	42	TRUE			Burial of Jesus	350	TRUE										
Mark	15	42	15	47	Luke	23	50	23	56	TRUE			Burial of Jesus	350	TRUE										
Mark	15	42	15	47	John	19	38	19	42	TRUE			Burial of Jesus	350	TRUE										
Luke	23	50	23	56	John	19	38	19	42	TRUE			Burial of Jesus	350	TRUE										
Matthew	28	1	28	10	Mark	16	1	16	8	TRUE			Women go to the tomb	352	TRUE										
Matthew	28	1	28	10	Luke	24	1	24	12	TRUE			Women go to the tomb	352	TRUE										
Matthew	28	1	28	10	John	20	1	20	18	TRUE			Women go to the tomb	352	TRUE										
Mark	16	1	16	8	Luke	24	1	24	12	TRUE			Women go to the tomb	352	TRUE										
Mark	16	1	16	8	John	20	1	20	18	TRUE			Women go to the tomb	352	TRUE										
Luke	24	1	24	12	John	20	1	20	18	TRUE			Women go to the tomb	352	TRUE										
Matthew	28	16	28	20	Mark	16	9	16	20	TRUE			Galilee appearances	358;359;360	TRUE										
Matthew	28	16	28	20	John	21	1	21	25	TRUE			Galilee appearances	358;359;360	TRUE										
Mark	16	9	16	20	John	21	1	21	25	TRUE			Galilee appearances	358;359;360	TRUE										
Mark	16	12	16	13	Luke	24	13	24	32	TRUE			Appears on road to Emmaus	355	TRUE										
Mark	16	19			Luke	24	50	24	53	TRUE			Ascension	365	TRUE										
Mark	16	19	0	0	Acts	1	9	1	11	TRUE			Ascension	365	TRUE										
Luke	24	50	24	53	Acts	1	9	1	11	TRUE			Ascension	365	TRUE										
Luke	24	33	24	49	John	20	19	20	31	TRUE			Jerusalem appearances	356;357;366	TRUE										
Luke	24	33	24	49	Acts	1	3	1	8	TRUE			Jerusalem appearances	356;357;366	TRUE										
John	20	19	20	31	Acts	1	3	1	8	TRUE			Jerusalem appearances	356;357;366	TRUE										
Matthew	28	5	28	7	Mark	16	6	16	7	TRUE			Angel’s words		TRUE										
Matthew	28	5	28	7	Luke	24	5	24	7	TRUE			Angel’s words		TRUE										
Matthew	28	5	28	7	John	20	13			TRUE			Angel’s words		TRUE										
Mark	16	6	16	7	Luke	24	5	24	7	TRUE			Angel’s words		TRUE										
Mark	16	6	16	7	John	20	13	0	0	TRUE			Angel’s words		TRUE										
Luke	24	5	24	7	John	20	13	0	0	TRUE			Angel’s words		TRUE										
Matthew	28	5	28	7	Acts	1	4			TRUE			Galilee vs Jerusalem		TRUE										
Mark	16	6	16	7	Acts	1	4			TRUE			Galilee vs Jerusalem		TRUE										
Matthew	21	1	21	9	Mark	11	1	11	10	TRUE			Triumphal Entry	269	TRUE										
Matthew	21	1	21	9	Luke	19	28	19	40	TRUE			Triumphal Entry	269	TRUE										
Matthew	21	1	21	9	John	12	12	12	19	TRUE			Triumphal Entry	269	TRUE										
Mark	11	1	11	10	Luke	19	28	19	40	TRUE			Triumphal Entry	269	TRUE										
Mark	11	1	11	10	John	12	12	12	19	TRUE			Triumphal Entry	269	TRUE										
Luke	19	28	19	40	John	12	12	12	19	TRUE			Triumphal Entry	269	TRUE										
Matthew	21	18	21	19	Mark	11	12	11	14	TRUE			Cursing the fig tree	272	TRUE										
Matthew	21	18	21	19	Mark	11	20	11	26	TRUE			Cursing the fig tree	272	TRUE										
Mark	11	12	11	14	Mark	11	20	11	26	TRUE			Cursing the fig tree	272	TRUE										
Mark	11	18	11	19	Luke	19	47	19	48	TRUE			Chief priests and scribes conspire against Jesus	274	TRUE										
Matthew	21	23	21	27	Mark	11	27	11	33	TRUE			The question of authority	276	TRUE										
Matthew	21	23	21	27	Luke	20	1	20	8	TRUE			The question of authority	276	TRUE										
Mark	11	27	11	33	Luke	20	1	20	8	TRUE			The question of authority	276	TRUE										
Matthew	21	33	21	46	Mark	12	1	12	12	TRUE			Parable of the wicked husbandmen	276	TRUE										
Matthew	21	33	21	46	Luke	20	9	20	19	TRUE			Parable of the wicked husbandmen	276	TRUE										
Mark	12	1	12	12	Luke	20	9	20	19	TRUE			Parable of the wicked husbandmen	276	TRUE										
Matthew	22	15	22	22	Mark	12	13	12	17	TRUE			Paying tribute to Caesar	280	TRUE										
Matthew	22	15	22	22	Luke	20	20	20	26	TRUE			Paying tribute to Caesar	280	TRUE										
Mark	12	13	12	17	Luke	20	20	20	26	TRUE			Paying tribute to Caesar	280	TRUE										
Matthew	22	23	22	33	Mark	12	18	12	27	TRUE			Question on the resurrection	281	TRUE										
Matthew	22	23	22	33	Luke	20	27	20	40	TRUE			Question on the resurrection	281	TRUE										
Mark	12	18	12	27	Luke	20	27	20	40	TRUE			Question on the resurrection	281	TRUE										
Matthew	22	41	22	46	Mark	12	35	12	37	TRUE			Question about David’s son	282	TRUE										
Matthew	22	41	22	46	Luke	20	41	20	44	TRUE			Question about David’s son	282	TRUE										
Matthew	22	41	22	46	John	7	42			TRUE			Question about David’s son	282	TRUE										
Matthew	22	41	22	46	Romans	1	3			TRUE			Question about David’s son	282	TRUE										
Mark	12	35	12	37	Luke	20	41	20	44	TRUE			Question about David’s son	282	TRUE										
Mark	12	35	12	37	John	7	42	0	0	TRUE			Question about David’s son	282	TRUE										
Mark	12	35	12	37	Romans	1	3	0	0	TRUE			Question about David’s son	282	TRUE										
Luke	20	41	20	44	John	7	42	0	0	TRUE			Question about David’s son	282	TRUE										
Luke	20	41	20	44	Romans	1	3	0	0	TRUE			Question about David’s son	282	TRUE										
John	7	42	0	0	Romans	1	3	0	0	TRUE			Question about David’s son	282	TRUE										
Matthew	23	1	23	36	Mark	12	38	12	40	TRUE			Question on the resurrection	281	TRUE										
Matthew	23	1	23	36	Luke	20	45	20	47	TRUE			Question on the resurrection	281	TRUE										
Mark	12	38	12	40	Luke	20	45	20	47	TRUE			Question on the resurrection	281	TRUE										
Mark	12	41	12	44	Luke	21	1	21	4	TRUE			Question on the resurrection	286	TRUE										
Matthew	24	1	24	2	Mark	13	1	13	2	TRUE			Prediction of destruction of the temple	287	TRUE										
Matthew	24	1	24	2	Luke	21	5	21	6	TRUE			Prediction of destruction of the temple	287	TRUE										
Mark	13	1	13	2	Luke	21	5	21	6	TRUE			Prediction of destruction of the temple	287	TRUE										
Matthew	24	3	24	8	Mark	13	3	13	8	TRUE			Signs before the end	288	TRUE										
Matthew	24	3	24	8	Luke	21	7	21	11	TRUE			Signs before the end	288	TRUE										
Mark	13	3	13	8	Luke	21	7	21	11	TRUE			Signs before the end	288	TRUE										
Matthew	24	15	24	22	Mark	13	14	13	20	TRUE			Desolating sacrilege	290	TRUE										
Matthew	24	15	24	22	Luke	21	20	21	24	TRUE			Desolating sacrilege	290	TRUE										
Mark	13	14	13	20	Luke	21	20	21	24	TRUE			Desolating sacrilege	290	TRUE										
Matthew	24	23	24	27	Mark	13	21	13	23	TRUE			False christs and prophets	291	TRUE										
Matthew	24	23	24	27	Luke	17	23	17	24	TRUE			False christs and prophets	291	TRUE										
Mark	13	21	13	23	Luke	17	23	17	24	TRUE			False christs and prophets	291	TRUE										
