ch,my_ref,mt_ref,lxx_ref,other_ref,note
1,1:1,1:1,1:1,1:1,
1,1:2,1:2,1:2,1:2,
1,1:3,1:3,1:3,1:3,
1,1:4,1:4,1:4,1:4,
1,1:5,1:5,1:5,1:5,
1,1:6,1:6,1:6,1:6,
1,1:7,1:7,1:7,1:7,
1,1:8,1:8,1:8,1:8,
1,1:9,1:9,1:9,1:9,
1,1:10,1:10,1:10,1:10,
1,1:11,1:11,1:11,1:11,
1,1:12,1:12,1:12,1:12,
1,1:13,1:13,1:13,1:13,
1,1:14,1:14,1:14,1:14,
1,1:15,1:15,1:15,1:15,
1,1:16,1:16,1:16,1:16,
1,1:17,1:17,1:17,1:17,
2,2:1,2:1,1:18,2:1,
2,2:2,2:2,2:1,2:2,
2,2:3,2:3,2:2,2:3,
2,2:4,2:4,2:3,2:4,
2,2:5,2:5,2:4,2:5,
2,2:6,2:6,2:5,2:6,
2,2:7,2:7,2:6,2:7,
2,2:8,2:8,2:7,2:8,
2,2:9,2:9,2:8,2:9,
2,2:10,2:10,2:9,2:10,
2,2:11,2:11,2:10,2:11,
2,2:12,2:12,2:11,2:12,
2,2:13,2:13,2:12,2:13,
2,2:14,2:14,2:13,2:14,
2,2:15,2:15,2:14,2:15,
2,2:16,2:16,2:15,2:16,
2,2:17,2:17,2:16,2:17,
2,2:18,2:18,2:17,2:18,
3,3:1,3:1,3:1,3:1,
3,3:2,3:2,3:2,3:2,
3,3:3,3:3,3:3,3:3,
3,3:4,3:4,3:4,3:4,
3,3:5,3:5,3:5,3:5,
3,3:6,3:6,3:6,3:6,
3,3:7,3:7,3:7,3:7,
3,3:8,3:8,3:8,3:8,
3,3:9,3:9,3:9,3:9,
3,3:10,3:10,3:10,3:10,
3,3:11,3:11,3:11,3:11,
3,3:12,3:12,,3:12,
3,3:13,3:13,3:13,3:13,
3,3:14,3:14,3:14,3:14,
3,3:15,3:15,3:15,3:15,
3,3:16,3:16,3:16,3:16,
3,3:17,3:17,3:17,3:17,
4,4:1,4:1,4:1,4:1,
4,4:2,4:2,4:2,4:2,
4,4:3,4:3,4:3,4:3,
4,4:4,4:4,4:4,4:4,
4,4:5,4:5,4:5,4:5,
4,4:6,4:6,4:6,4:6,
4,4:7,4:7,4:7,4:7,
4,4:8,4:8,4:8,4:8,
4,4:9,4:9,4:9,4:9,
4,4:10,4:10,4:10,4:10,
4,4:11,4:11,4:11,4:11,
4,4:12,4:12,4:12,4:12,
4,4:13,4:13,4:13,4:13,
4,4:14,4:14,4:14,4:14,
4,4:15,4:15,4:15,4:15,
4,4:16,4:16,4:16,4:16,
4,4:17,4:17,4:17,4:17,
4,4:18,4:18,4:18,4:18,
4,4:19,4:19,4:19,4:19,
4,4:20,4:20,4:20,4:20,
4,4:21,4:21,4:21,4:21,
4,4:22,4:22,4:22,4:22,
5,5:1,5:1,5:1,5:1,
5,5:2,5:2,5:2,5:2,
5,5:3,5:3,5:3,5:3,
5,5:4,5:4,5:4,5:4,
5,5:5,5:5,5:5,5:5,
5,5:6,5:6,5:6,5:6,
5,5:7,5:7,5:7,5:7,
5,5:8,5:8,5:8,5:8,
5,5:9,5:9,5:9,5:9,
5,5:10,5:10,5:10,5:10,
5,5:11,5:11,5:11,5:11,
5,5:12,5:12,5:12,5:12,
5,5:13,5:13,5:13,5:13,
5,5:14,5:14,5:14,5:14,
6,6:1,6:1,6:1,6:1,
6,6:2,6:2,6:2,6:2,
6,6:3,6:3,6:3,6:3,
6,6:4,6:4,6:4,6:4,
6,6:5,6:5,6:5,6:5,
6,6:6,6:6,6:6,6:6,
6,6:7,6:7,6:7,6:7,
6,6:8,6:8,6:8,6:8,
6,6:9,6:9,6:9,6:9,
6,6:10,6:10,6:10,6:10,
6,6:11,6:11,6:11,6:11,
6,6:12,6:12,6:12,6:12,
6,6:13,6:13,6:13,6:13,
6,6:14,6:14,6:14,6:14,
6,6:15,6:15,6:15,6:15,
6,6:16,6:16,6:16,6:16,
6,6:17,6:17,6:17,6:17,
6,6:18,6:18,6:18,6:18,
6,6:19,6:19,6:19,6:19,
6,6:20,6:20,6:20,6:20,
6,6:21,6:21,6:21,6:21,
6,6:22,6:22,6:22,6:22,
6,6:23,6:23,6:23,6:23,
6,6:24,6:24,6:24,6:24,
6,6:25,6:25,6:25,6:25,
6,6:26,6:26,6:26,6:26,
6,6:27,6:27,6:27,6:27,
6,6:28,6:28,6:28,6:28,
6,6:29,6:29,6:29,6:29,
6,6:30,6:30,6:30,6:30,
6,6:31,6:31,6:31,6:31,
6,6:32,6:32,6:32,6:32,
6,6:33,6:33,6:33,6:33,
6,6:34,6:34,6:34,6:34,
6,6:35,6:35,6:35,6:35,
6,6:36,6:36,6:36,6:36,
6,6:37,6:37,6:37,6:37,
6,6:38,6:38,6:38,6:38,
6,6:39,6:39,6:39,6:39,
6,6:40,6:40,6:40,6:40,
6,6:41,6:41,6:41,6:41,
6,6:42,6:42,6:42,6:42,
7,7:1,7:1,7:1,7:1,
7,7:2,7:2,7:2,7:2,
7,7:3,7:3,7:3,7:3,
7,7:4,7:4,7:4,7:4,
7,7:5,7:5,7:5,7:5,
7,7:6,7:6,7:6,7:6,
7,7:7,7:7,7:7,7:7,
7,7:8,7:8,7:8,7:8,
7,7:9,7:9,7:9,7:9,
7,7:10,7:10,7:10,7:10,
7,7:11,7:11,7:11,7:11,
7,7:12,7:12,7:12,7:12,
7,7:13,7:13,7:13,7:13,
7,7:14,7:14,7:14,7:14,
7,7:15,7:15,7:15,7:15,
7,7:16,7:16,7:16,7:16,
7,7:17,7:17,7:17,7:17,
7,7:18,7:18,7:18,7:18,
7,7:19,7:19,7:19,7:19,
7,7:20,7:20,7:20,7:20,
7,7:21,7:21,7:21,7:21,
7,7:22,7:22,7:22,7:22,
8,8:1,8:1,8:1,8:1,
8,8:2,8:2,8:2,8:2,
8,8:3,8:3,8:3,8:3,
8,8:4,8:4,8:4,8:4,
8,8:5,8:5,8:5,8:5,
8,8:6,8:6,8:6,8:6,
8,8:7,8:7,8:7,8:7,
8,8:8,8:8,8:8,8:8,
8,8:9,8:9,8:9,8:9,
8,8:10,8:10,8:10,8:10,
8,8:11,8:11,8:11,8:11,
8,8:12,8:12,8:12,8:12,
8,8:13,8:13,8:13,8:13,
8,8:14,8:14,8:14,8:14,
8,8:15,8:15,8:15,8:15,
8,8:16,8:16,8:16,8:16,
8,8:17,8:17,8:17,8:17,
8,8:18,8:18,8:18,8:18,
9,9:1,9:1,9:1,9:1,
9,9:2,9:2,9:2,9:2,
9,9:3,9:3,9:3,9:3,
9,9:4,9:4,9:4,9:4,
9,9:5,9:5,9:5,9:5,
9,9:6,9:6,9:6,9:6,
9,9:7,9:7,9:7,9:7,
9,9:8,9:8,9:8,9:8,
9,9:9,9:9,9:9,9:9,
9,9:10,9:10,9:10,9:10,
9,9:11,9:11,9:11,9:11,
9,9:12,9:12,9:12,9:12,
9,9:13,9:13,9:13,9:13,
9,9:14,9:14,9:14,9:14,
9,9:15,9:15,9:15,9:15,
9,9:16,9:16,9:16,9:16,
9,9:17,9:17,9:17,9:17,
9,9:18,9:18,9:18,9:18,
9,9:19,9:19,9:19,9:19,
9,9:20,9:20,9:20,9:20,
9,9:21,9:21,9:21,9:21,
9,9:22,9:22,9:22,9:22,
9,9:23,9:23,9:23,9:23,
9,9:24,9:24,9:24,9:24,
9,9:25,9:25,9:25,9:25,
9,9:26,9:26,9:26,9:26,
9,9:27,9:27,9:27,9:27,
9,9:28,9:28,9:28,9:28,
9,9:29,9:29,9:29,9:29,
9,9:30,9:30,9:30,9:30,
9,9:31,9:31,9:31,9:31,
10,10:1,10:1,10:1,10:1,
10,10:2,10:2,10:2,10:2,
10,10:3,10:3,10:3,10:3,
10,10:4,10:4,10:4,10:4,
10,10:5,10:5,10:5,10:5,
10,10:6,10:6,10:6,10:6,
10,10:7,10:7,10:7,10:7,
10,10:8,10:8,10:8,10:8,
10,10:9,10:9,10:9,10:9,
10,10:10,10:10,10:10,10:10,
10,10:11,10:11,10:11,10:11,
10,10:12,10:12,10:12,10:12,
10,10:13,10:13,10:13,10:13,
10,10:14,10:14,10:14,10:14,
10,10:15,10:15,10:15,10:15,
10,10:16,10:16,10:16,10:16,
10,10:17,10:17,10:17,10:17,
10,10:18,10:18,10:18,10:18,
10,10:19,10:19,10:19,10:19,
11,11:1,11:1,11:1,11:1,
11,11:2,11:2,11:2,11:2,
11,11:3,11:3,11:3,11:3,
11,11:4,11:4,11:4,11:4,
11,11:5,11:5,11:5,11:5,
11,11:6,11:6,11:6,11:6,
11,11:7,11:7,11:7,11:7,
11,11:8,11:8,11:8,11:8,
11,11:9,11:9,11:9,11:9,
11,11:10,11:10,11:10,11:10,
11,11:11,11:11,11:11,11:11,
11,11:12,11:12,11:12,11:12,
11,11:13,11:13,11:13,11:13,
11,11:14,11:14,11:14,11:14,
11,11:15,11:15,11:15,11:15,
11,11:16,11:16,11:16,11:16,
11,11:17,11:17,11:17,11:17,
11,11:18,11:18,11:18,11:18,
11,11:19,11:19,11:19,11:19,
11,11:20,11:20,11:20,11:20,
11,11:21,11:21,11:21,11:21,
11,11:22,11:22,11:22,11:22,
11,11:23,11:23,11:23,11:23,
12,12:1,12:1,12:1,12:1,
12,12:2,12:2,12:2,12:2,
12,12:3,12:3,12:3,12:3,
12,12:4,12:4,12:4,12:4,
12,12:5,12:5,12:5,12:5,
12,12:6,12:6,12:6,12:6,
12,12:7,12:7,12:7,12:7,
12,12:8,12:8,12:8,12:8,
12,12:9,12:9,12:9,12:9,
12,12:10,12:10,12:10,12:10,
12,12:11,12:11,12:11,12:11,
12,12:12,12:12,12:12,12:12,
12,12:13,12:13,12:13,12:13,
12,12:14,12:14,12:14,12:14,
12,12:15,12:15,12:15,12:15,
12,12:16,12:16,12:16,12:16,
13,13:1,13:1,13:1,13:1,
13,13:2,13:2,13:2,13:2,
13,13:3,13:3,13:3,13:3,
13,13:4,13:4,13:4,13:4,
13,13:5,13:5,13:5,13:5,
13,13:6,13:6,13:6,13:6,
13,13:7,13:7,13:7,13:7,
13,13:8,13:8,13:8,13:8,
13,13:9,13:9,13:9,13:9,
13,13:10,13:10,13:10,13:10,
13,13:11,13:11,13:11,13:11,
13,13:12,13:12,13:12,13:12,
13,13:13,13:13,13:13,13:13,
13,13:14,13:14,13:14,13:14,
13,13:15,13:15,13:15,13:15,
13,13:16,13:16,13:16,13:16,
13,13:17,13:17,13:17,13:17,
13,13:18,13:18,13:18,13:18,
13,13:19,13:19,13:19,13:19,
13,13:20,13:20,13:20,13:20,
13,13:21,13:21,13:21,13:21,
13,13:22,13:22,13:22,13:22,
14,14:1,14:1,13:23,14:1,
14,14:2,14:2,14:1,14:2,
14,14:3,14:3,14:2,14:3,
14,14:4,14:4,14:3,14:4,
14,14:5,14:5,14:4,14:5,
14,14:6,14:6,14:5,14:6,
14,14:7,14:7,14:6,14:7,
14,14:8,14:8,14:7,14:8,
14,14:9,14:9,14:8,14:9,
14,14:10,14:10,14:9,14:10,
14,14:11,14:11,14:10,14:11,
14,14:12,14:12,14:11,14:12,
14,14:13,14:13,14:12,14:13,
14,14:14,14:14,14:13,14:14,
14,14:15,14:15,14:14,14:15,
15,15:1,15:1,15:1,15:1,
15,15:2,15:2,15:2,15:2,
15,15:3,15:3,15:3,15:3,
15,15:4,15:4,15:4,15:4,
15,15:5,15:5,15:5,15:5,
15,15:6,15:6,15:6,15:6,
15,15:7,15:7,15:7,15:7,
15,15:8,15:8,15:8,15:8,
15,15:9,15:9,15:9,15:9,
15,15:10,15:10,15:10,15:10,
15,15:11,15:11,15:11,15:11,
15,15:12,15:12,15:12,15:12,
15,15:13,15:13,15:13,15:13,
15,15:14,15:14,15:14,15:14,
15,15:15,15:15,15:15,15:15,
15,15:16,15:16,15:16,15:16,
15,15:17,15:17,15:17,15:17,
15,15:18,15:18,15:18,15:18,
15,15:19,15:19,15:19,15:19,
16,16:1,16:1,16:1,16:1,
16,16:2,16:2,16:2,16:2,
16,16:3,16:3,16:3,16:3,
16,16:4,16:4,16:4,16:4,
16,16:5,16:5,16:5,16:5,
16,16:6,16:6,16:6,16:6,
16,16:7,16:7,16:7,16:7,
16,16:8,16:8,16:8,16:8,
16,16:9,16:9,16:9,16:9,
16,16:10,16:10,16:10,16:10,
16,16:11,16:11,16:11,16:11,
16,16:12,16:12,16:12,16:12,
16,16:13,16:13,16:13,16:13,
16,16:14,16:14,16:14,16:14,
17,17:1,17:1,17:1,17:1,
17,17:2,17:2,17:2,17:2,
17,17:3,17:3,17:3,17:3,
17,17:4,17:4,17:4,17:4,
17,17:5,17:5,17:5,17:5,
17,17:6,17:6,17:6,17:6,
17,17:7,17:7,17:7,17:7,
