ch,my_ref,mt_ref,lxx_ref,other_ref,note,,
44,44:1,44:1,43:2,44:1,,,
44,44:2,44:2,43:3,44:2,,,
44,44:3,44:3,43:4,44:3,,,
44,44:4,44:4,43:5,44:4,,,
44,44:5,44:5,43:6,44:5,,,
44,44:6,44:6,43:7,44:6,,,
44,44:7,44:7,43:8,44:7,,,
44,44:8,44:8,43:9,44:8,,,
44,44:9,44:9,43:10,44:9,,,
44,44:10,44:10,43:11,44:10,,,
44,44:11,44:11,43:12,44:11,,,
44,44:12,44:12,43:13,44:12,,,
44,44:13,44:13,43:14,44:13,,,
44,44:14,44:14,43:15,44:14,,,
44,44:15,44:15,43:16,44:15,,,
44,44:16,44:16,43:17,44:16,,,
44,44:17,44:17,43:18,44:17,,,
44,44:18,44:18,43:19,44:18,,,
44,44:19,44:19,43:20,44:19,,,
44,44:20,44:20,43:21,44:20,,,
44,44:21,44:21,43:22,44:21,,,
44,44:22,44:22,43:23,44:22,,,
44,44:23,44:23,43:24,44:23,,,
44,44:24,44:24,43:25,44:24,,,
44,44:25,44:25,43:26,44:25,,,
44,44:26,44:26,43:27,44:26,,,
45,45:0,45:0,44:1,45:0,,,
45,45:1,45:1,44:2,45:1,,,
45,45:2,45:2,44:3,45:2,,,
45,45:3,45:3,44:4,45:3,,,
45,45:4,45:4,44:5,45:4,,,
45,45:5,45:5,44:6,45:5,,,
45,45:6,45:6,44:7,45:6,,,
45,45:7,45:7,44:8,45:7,,,
45,45:8,45:8,44:9,45:8,,,
45,45:9,45:9,44:10,45:9,,,
45,45:10,45:10,44:11,45:10,,,
45,45:11,45:11,44:12,45:11,,,
45,45:12,45:12,44:13,45:12,,,
45,45:13,45:13,44:14,45:13,,,
45,45:14,45:14,44:15,45:14,,,
45,45:15,45:15,44:16,45:15,,,
45,45:16,45:16,44:17,45:16,,,
45,45:17,45:17,44:18,45:17,,,
46,46:0,46:0,45:1,46:0,,,
46,46:1,46:1,45:2,46:1,,,
46,46:2,46:2,45:3,46:2,,,
46,46:3,46:3,45:4,46:3,,,
46,46:4,46:4,45:5,46:4,,,
46,46:5,46:5,45:6,46:5,,,
46,46:6,46:6,45:7,46:6,,,
46,46:7,46:7,45:8,46:7,,,
46,46:8,46:8,45:9,46:8,,,
46,46:9,46:9,45:10,46:9,,,
46,46:10,46:10,45:11,46:10,,,
46,46:11,46:11,45:12,46:11,,,
47,47:0,47:0,46:1,47:0,,,
47,47:1,47:1,46:2,47:1,,,
47,47:2,47:2,46:3,47:2,,,
47,47:3,47:3,46:4,47:3,,,
47,47:4,47:4,46:5,47:4,,,
47,47:5,47:5,46:6,47:5,,,
47,47:6,47:6,46:7,47:6,,,
47,47:7,47:7,46:8,47:7,,,
47,47:8,47:8,46:9,47:8,,,
47,47:9,47:9,46:10,47:9,,,
48,48:0,48:0,47:1,48:0,,,
48,48:1,48:1,47:2,48:1,,,
48,48:2,48:2,47:3,48:2,,,
48,48:3,48:3,47:4,48:3,,,
48,48:4,48:4,47:5,48:4,,,
48,48:5,48:5,47:6,48:5,,,
48,48:6,48:6,47:7,48:6,,,
48,48:7,48:7,47:8,48:7,,,
48,48:8,48:8,47:9,48:8,,,
48,48:9,48:9,47:10,48:9,,,
48,48:10,48:10,47:11,48:10,,,
48,48:11,48:11,47:12,48:11,,,
48,48:12,48:12,47:13,48:12,,,
48,48:13,48:13,47:14,48:13,,,
48,48:14,48:14,47:15,48:14,,,
49,49:0,49:0,48:1,49:0,,,
49,49:1,49:1,48:2,49:1,,,
49,49:2,49:2,48:3,49:2,,,
49,49:3,49:3,48:4,49:3,,,
49,49:4,49:4,48:5,49:4,,,
49,49:5,49:5,48:6,49:5,,,
49,49:6,49:6,48:7,49:6,,,
49,49:7,49:7,48:8,49:7,,,
49,49:8,49:8,48:9,49:8,,,
49,49:9,49:9,48:10,49:9,,,
49,49:10,49:10,48:11,49:10,,,
49,49:11,49:11,48:12,49:11,,,
49,49:12,49:12,48:13,49:12,,,
49,49:13,49:13,48:14,49:13,,,
49,49:14,49:14,48:15,49:14,,,
49,49:15,49:15,48:16,49:15,,,
49,49:16,49:16,48:17,49:16,,,
49,49:17,49:17,48:18,49:17,,,
49,49:18,49:18,48:19,49:18,,,
49,49:19,49:19,48:20,49:19,,,
49,49:20,49:20,48:21,49:20,,,
50,50:0-50:1,50:0-50:1,49:1,50:0,,,
50,50:2,50:2,49:2,50:2,,,
50,50:3,50:3,49:3,50:3,,,
50,50:4,50:4,49:4,50:4,,,
50,50:5,50:5,49:5,50:5,,,
50,50:6,50:6,49:6,50:6,,,
50,50:7,50:7,49:7,50:7,,,
50,50:8,50:8,49:8,50:8,,,
50,50:9,50:9,49:9,50:9,,,
50,50:10,50:10,49:10,50:10,,,
50,50:11,50:11,49:11,50:11,,,
50,50:12,50:12,49:12,50:12,,,
50,50:13,50:13,49:13,50:13,,,
50,50:14,50:14,49:14,50:14,,,
50,50:15,50:15,49:15,50:15,,,
50,50:16,50:16,49:16,50:16,,,
50,50:17,50:17,49:17,50:17,,,
50,50:18,50:18,49:18,50:18,,,
50,50:19,50:19,49:19,50:19,,,
50,50:20,50:20,49:20,50:20,,,
50,50:21,50:21,49:21,50:21,,,
50,50:22,50:22,49:22,50:22,,,
50,50:23,50:23,49:23,50:23,,,
51,51:0,51:0,50:1-50:2,51:0,,,
51,51:1,51:1,50:3,51:1,,,
51,51:2,51:2,50:4,51:2,,,
51,51:3,51:3,50:5,51:3,,,
51,51:4,51:4,50:6,51:4,,,
51,51:5,51:5,50:7,51:5,,,
51,51:6,51:6,50:8,51:6,,,
51,51:7,51:7,50:9,51:7,,,
51,51:8,51:8,50:10,51:8,,,
51,51:9,51:9,50:11,51:9,,,
51,51:10,51:10,50:12,51:10,,,
51,51:11,51:11,50:13,51:11,,,
51,51:12,51:12,50:14,51:12,,,
51,51:13,51:13,50:15,51:13,,,
51,51:14,51:14,50:16,51:14,,,
51,51:15,51:15,50:17,51:15,,,
51,51:16,51:16,50:18,51:16,,,
51,51:17,51:17,50:19,51:17,,,
51,51:18,51:18,50:20,51:18,,,
51,51:19,51:19,50:21,51:19,,,
52,52:0,52:0,51:1-51:2,52:0,,,
52,52:1,52:1,51:3,52:1,,,
52,52:2,52:2,51:4,52:2,,,
52,52:3,52:3,51:5,52:3,,,
52,52:4,52:4,51:6,52:4,,,
52,52:5,52:5,51:7,52:5,,,
52,52:6,52:6,51:8,52:6,,,
52,52:7,52:7,51:9,52:7,,,
52,52:8,52:8,51:10,52:8,,,
52,52:9,52:9,51:11,52:9,,,
53,53:0,53:0,52:1,53:0,,,
53,53:1,53:1,52:2,53:1,,,
53,53:2,53:2,52:3,53:2,,,
53,53:3,53:3,52:4,53:3,,,
53,53:4,53:4,52:5,53:4,,,
53,53:5,53:5,52:6,53:5,,,
53,53:6,53:6,52:7,53:6,,,
54,54:0,54:0,53:1-53:2,54:0,,,
54,54:1,54:1,53:3,54:1,,,
54,54:2,54:2,53:4,54:2,,,
54,54:3,54:3,53:5,54:3,,,
54,54:4,54:4,53:6,54:4,,,
54,54:5,54:5,53:7,54:5,,,
54,54:6,54:6,53:8,54:6,,,
54,54:7,54:7,53:9,54:7,,,
55,55:0,55:0,54:1,55:0,,,
55,55:1,55:1,54:2,55:1,,,
55,55:2,55:2,54:3,55:2,,,
55,55:3,55:3,54:4,55:3,,,
55,55:4,55:4,54:5,55:4,,,
55,55:5,55:5,54:6,55:5,,,
55,55:6,55:6,54:7,55:6,,,
55,55:7,55:7,54:8,55:7,,,
55,55:8,55:8,54:9,55:8,,,
55,55:9,55:9,54:10,55:9,,,
55,55:10,55:10,54:11,55:10,,,
55,55:11,55:11,54:12,55:11,,,
55,55:12,55:12,54:13,55:12,,,
55,55:13,55:13,54:14,55:13,,,
55,55:14,55:14,54:15,55:14,,,
55,55:15,55:15,54:16,55:15,,,
55,55:16,55:16,54:17,55:16,,,
55,55:17,55:17,54:18,55:17,,,
55,55:18,55:18,54:19,55:18,,,
55,55:19,55:19,54:20,55:19,,,
55,55:20,55:20,54:21,55:20,,,
55,55:21,55:21,54:22,55:21,,,
55,55:22,55:22,54:23,55:22,,,
55,55:23,55:23,54:24,55:23,,,
56,56:0,56:0,55:1,56:0,,,
56,56:1,56:1,55:2,56:1,,,
56,56:2,56:2,55:3,56:2,,,
56,56:3,56:3,55:4,56:3,,,
56,56:4,56:4,55:5,56:4,,,
56,56:5,56:5,55:6,56:5,,,
56,56:6,56:6,55:7,56:6,,,
56,56:7,56:7,55:8,56:7,,,
56,56:8,56:8,55:9,56:8,,,
56,56:9,56:9,55:10,56:9,,,
56,56:10,56:10,55:11,56:10,,,
56,56:11,56:11,55:12,56:11,,,
56,56:12,56:12,55:13,56:12,,,
56,56:13,56:13,55:14,56:13,,,
57,57:0,57:0,56:1,57:0,,,
57,57:1,57:1,56:2,57:1,,,
57,57:2,57:2,56:3,57:2,,,
57,57:3,57:3,56:4,57:3,,,
57,57:4,57:4,56:5,57:4,,,
57,57:5,57:5,56:6,57:5,,,
57,57:6,57:6,56:7,57:6,,,
57,57:7,57:7,56:8,57:7,,,
57,57:8,57:8,56:9,57:8,,,
57,57:9,57:9,56:10,57:9,,,
57,57:10,57:10,56:11,57:10,,,
57,57:11,57:11,56:12,57:11,,,
58,58:0,58:0,57:1,58:0,,,
58,58:1,58:1,57:2,58:1,,,
58,58:2,58:2,57:3,58:2,,,
58,58:3,58:3,57:4,58:3,,,
58,58:4,58:4,57:5,58:4,,,
58,58:5,58:5,57:6,58:5,,,
58,58:6,58:6,57:7,58:6,,,
58,58:7,58:7,57:8,58:7,,,
58,58:8,58:8,57:9,58:8,,,
58,58:9,58:9,57:10,58:9,,,
58,58:10,58:10,57:11,58:10,,,
58,58:11,58:11,57:12,58:11,,,
59,59:0,59:0,58:1,59:0,,,
59,59:1,59:1,58:2,59:1,,,
59,59:2,59:2,58:3,59:2,,,
59,59:3,59:3,58:4,59:3,,,
59,59:4,59:4,58:5,59:4,,,
59,59:5,59:5,58:6,59:5,,,
59,59:6,59:6,58:7,59:6,,,
59,59:7,59:7,58:8,59:7,,,
59,59:8,59:8,58:9,59:8,,,
59,59:9,59:9,58:10,59:9,,,
59,59:10,59:10,58:11,59:10,,,
59,59:11,59:11,58:12,59:11,,,
59,59:12,59:12,58:13,59:12,,,
59,59:13,59:13,58:14,59:13,,,
59,59:14,59:14,58:15,59:14,,,
59,59:15,59:15,58:16,59:15,,,
59,59:16,59:16,58:17,59:16,,,
59,59:17,59:17,58:18,59:17,,,
60,60:0,60:0,59:1-59:2,60:0,,,
60,60:1,60:1,59:3,60:1,,,
60,60:2,60:2,59:4,60:2,,,
60,60:3,60:3,59:5,60:3,,,
60,60:4,60:4,59:6,60:4,,,
60,60:5,60:5,59:7,60:5,,,
60,60:6,60:6,59:8,60:6,,,
60,60:7,60:7,59:9,60:7,,,
60,60:8,60:8,59:10,60:8,,,
60,60:9,60:9,59:11,60:9,,,
60,60:10,60:10,59:12,60:10,,,
60,60:11,60:11,59:13,60:11,,,
60,60:12,60:12,59:14,60:12,,,
61,61:0,61:0,60:1,61:0,,,
61,61:1,61:1,60:2,61:1,,,
61,61:2,61:2,60:3,61:2,,,
61,61:3,61:3,60:4,61:3,,,
61,61:4,61:4,60:5,61:4,,,
61,61:5,61:5,60:6,61:5,,,
61,61:6,61:6,60:7,61:6,,,
61,61:7,61:7,60:8,61:7,,,
61,61:8,61:8,60:9,61:8,,,
62,62:0,62:0,61:1,62:0,,,
62,62:1,62:1,61:2,62:1,,,
62,62:2,62:2,61:3,62:2,,,
62,62:3,62:3,61:4,62:3,,,
62,62:4,62:4,61:5,62:4,,,
62,62:5,62:5,61:6,62:5,,,
62,62:6,62:6,61:7,62:6,,,
62,62:7,62:7,61:8,62:7,,,
62,62:8,62:8,61:9,62:8,,,
62,62:9,62:9,61:10,62:9,,,
62,62:10,62:10,61:11,62:10,,,
62,62:11,62:11,61:12,62:11,,,
62,62:12,62:12,61:13,62:12,,,
63,63:0,63:0,62:1,63:0,,,
63,63:1,63:1,62:2,63:1,,,
63,63:2,63:2,62:3,63:2,,,
63,63:3,63:3,62:4,63:3,,,
63,63:4,63:4,62:5,63:4,,,
63,63:5,63:5,62:6,63:5,,,
63,63:6,63:6,62:7,63:6,,,
63,63:7,63:7,62:8,63:7,,,
63,63:8,63:8,62:9,63:8,,,
63,63:9,63:9,62:10,63:9,,,
63,63:10,63:10,62:11,63:10,,,
63,63:11,63:11,62:12,63:11,,,
64,64:0,64:0,63:1,64:0,,,
64,64:1,64:1,63:2,64:1,,,
64,64:2,64:2,63:3,64:2,,,
64,64:3,64:3,63:4,64:3,,,
64,64:4,64:4,63:5,64:4,,,
64,64:5,64:5,63:6,64:5,,,
64,64:6,64:6,63:7,64:6,,,
64,64:7,64:7,63:8,64:7,,,
64,64:8,64:8,63:9,64:8,,,
64,64:9,64:9,63:10,64:9,,,
64,64:10,64:10,63:11,64:10,,,
65,65:0,65:0,64:1,65:0,,,
65,65:1,65:1,64:2,65:1,,,
65,65:2,65:2,64:3,65:2,,,
65,65:3,65:3,64:4,65:3,,,
65,65:4,65:4,64:5,65:4,,,
65,65:5,65:5,64:6,65:5,,,
65,65:6,65:6,64:7,65:6,,,
65,65:7,65:7,64:8,65:7,,,
65,65:8,65:8,64:9,65:8,,,
65,65:9,65:9,64:10,65:9,,,
65,65:10,65:10,64:11,65:10,,,
65,65:11,65:11,64:12,65:11,,,
65,65:12,65:12,64:13,65:12,,,
65,65:13,65:13,64:14,65:13,,,
66,66:0-66:1,66:0-66:1,65:1,66:0,,,
66,66:1,66:1,65:2,66:1,,,
66,66:2,66:2,65:3,66:2,,,
66,66:3,66:3,65:4,66:3,,,
66,66:4,66:4,65:5,66:4,,,
66,66:5,66:5,65:6,66:5,,,
66,66:6,66:6,65:7,66:6,,,
66,66:7,66:7,65:8,66:7,,,
66,66:8,66:8,65:9,66:8,,,
66,66:9,66:9,65:10,66:9,,,
66,66:10,66:10,65:11,66:10,,,
66,66:11,66:11,65:12,66:11,,,
66,66:12,66:12,65:13,66:12,,,
66,66:13,66:13,65:14,66:13,,,
66,66:14,66:14,65:15,66:14,,,
66,66:15,66:15,65:16,66:15,,,
66,66:16,66:16,65:17,66:16,,,
66,66:17,66:17,65:18,66:17,,,
66,66:18,66:18,65:19,66:18,,,
66,66:19,66:19,65:20,66:19,,,
66,66:20,66:20,65:21,66:20,,,
67,67:0,67:0,66:1,67:0,,,
67,67:1,67:1,66:2,67:1,,,
67,67:2,67:2,66:3,67:2,,,
67,67:3,67:3,66:4,67:3,,,
67,67:4,67:4,66:5,67:4,,,
67,67:5,67:5,66:6,67:5,,,
67,67:6,67:6,66:7,67:6,,,
67,67:7,67:7,66:8,67:7,,,
68,68:0,68:0,67:1,68:0,,,
68,68:1,68:1,67:2,68:1,,,
68,68:2,68:2,67:3,68:2,,,
68,68:3,68:3,67:4,68:3,,,
68,68:4,68:4,67:5,68:4,,,
68,68:5,68:5,67:6,68:5,,,
68,68:6,68:6,67:7,68:6,,,
68,68:7,68:7,67:8,68:7,,,
68,68:8,68:8,67:9,68:8,,,
68,68:9,68:9,67:10,68:9,,,
68,68:10,68:10,67:11,68:10,,,
68,68:11,68:11,67:12,68:11,,,
68,68:12,68:12,67:13,68:12,,,
68,68:13,68:13,67:14,68:13,,,
68,68:14,68:14,67:15,68:14,,,
68,68:15,68:15,67:16,68:15,,,
68,68:16,68:16,67:17,68:16,,,
68,68:17,68:17,67:18,68:17,,,
68,68:18,68:18,67:19,68:18,,,
68,68:19,68:19,67:20,68:19,,,
68,68:20,68:20,67:21,68:20,,,
68,68:21,68:21,67:22,68:21,,,
68,68:22,68:22,67:23,68:22,,,
68,68:23,68:23,67:24,68:23,,,
68,68:24,68:24,67:25,68:24,,,
68,68:25,68:25,67:26,68:25,,,
68,68:26,68:26,67:27,68:26,,,
68,68:27,68:27,67:28,68:27,,,
68,68:28,68:28,67:29,68:28,,,
68,68:29,68:29,67:30,68:29,,,
68,68:30,68:30,67:31,68:30,,,
68,68:31,68:31,67:32,68:31,,,
68,68:32,68:32,67:33,68:32,,,
68,68:33,68:33,67:34,68:33,,,
68,68:34,68:34,67:35,68:34,,,
68,68:35,68:35,67:36,68:35,,,
69,69:0,69:0,68:1,69:0,,,
69,69:1,69:1,68:2,69:1,,,
69,69:2,69:2,68:3,69:2,,,
69,69:3,69:3,68:4,69:3,,,
69,69:4,69:4,68:5,69:4,,,
69,69:5,69:5,68:6,69:5,,,
69,69:6,69:6,68:7,69:6,,,
69,69:7,69:7,68:8,69:7,,,
69,69:8,69:8,68:9,69:8,,,
69,69:9,69:9,68:10,69:9,,,
69,69:10,69:10,68:11,69:10,,,
69,69:11,69:11,68:12,69:11,,,
69,69:12,69:12,68:13,69:12,,,
69,69:13,69:13,68:14,69:13,,,
69,69:14,69:14,68:15,69:14,,,
69,69:15,69:15,68:16,69:15,,,
69,69:16,69:16,68:17,69:16,,,
69,69:17,69:17,68:18,69:17,,,
69,69:18,69:18,68:19,69:18,,,
69,69:19,69:19,68:20,69:19,,,
69,69:20,69:20,68:21,69:20,,,
69,69:21,69:21,68:22,69:21,,,
69,69:22,69:22,68:23,69:22,,,
69,69:23,69:23,68:24,69:23,,,
69,69:24,69:24,68:25,69:24,,,
69,69:25,69:25,68:26,69:25,,,
69,69:26,69:26,68:27,69:26,,,
69,69:27,69:27,68:28,69:27,,,
69,69:28,69:28,68:29,69:28,,,
69,69:29,69:29,68:30,69:29,,,
69,69:30,69:30,68:31,69:30,,,
69,69:31,69:31,68:32,69:31,,,
69,69:32,69:32,68:33,69:32,,,
69,69:33,69:33,68:34,69:33,,,
69,69:34,69:34,68:35,69:34,,,
69,69:35,69:35,68:36,69:35,,,
69,69:36,69:36,68:37,69:36,,,
70,70:0,70:0,69:1,70:0,,,
70,70:1,70:1,69:2,70:1,,,
70,70:2,70:2,69:3,70:2,,,
70,70:3,70:3,69:4,70:3,,,
70,70:4,70:4,69:5,70:4,,,
70,70:5,70:5,69:6,70:5,,,
71,71:1,71:1,70:1,71:1,,,
71,71:2,71:2,70:2,71:2,,,
71,71:3,71:3,70:3,71:3,,,
71,71:4,71:4,70:4,71:4,,,
71,71:5,71:5,70:5,71:5,,,
71,71:6,71:6,70:6,71:6,,,
71,71:7,71:7,70:7,71:7,,,
71,71:8,71:8,70:8,71:8,,,
71,71:9,71:9,70:9,71:9,,,
71,71:10,71:10,70:10,71:10,,,
71,71:11,71:11,70:11,71:11,,,
71,71:12,71:12,70:12,71:12,,,
71,71:13,71:13,70:13,71:13,,,
71,71:14,71:14,70:14,71:14,,,
71,71:15,71:15,70:15,71:15,,,
71,71:16,71:16,70:16,71:16,,,
71,71:17,71:17,70:17,71:17,,,
71,71:18,71:18,70:18,71:18,,,
71,71:19,71:19,70:19,71:19,,,
71,71:20,71:20,70:20,71:20,,,
71,71:21,71:21,70:21,71:21,,,
71,71:22,71:22,70:22,71:22,,,
71,71:23,71:23,70:23,71:23,,,
71,71:24,71:24,70:24,71:24,,,
72,72:0-72:1,72:0-72:1,71:1,72:0,,,
72,72:2,72:2,71:2,72:2,,,
72,72:3,72:3,71:3,72:3,,,
72,72:4,72:4,71:4,72:4,,,
72,72:5,72:5,71:5,72:5,,,
72,72:6,72:6,71:6,72:6,,,
72,72:7,72:7,71:7,72:7,,,
72,72:8,72:8,71:8,72:8,,,
72,72:9,72:9,71:9,72:9,,,
72,72:10,72:10,71:10,72:10,,,
72,72:11,72:11,71:11,72:11,,,
72,72:12,72:12,71:12,72:12,,,
72,72:13,72:13,71:13,72:13,,,
72,72:14,72:14,71:14,72:14,,,
72,72:15,72:15,71:15,72:15,,,
72,72:16,72:16,71:16,72:16,,,
72,72:17,72:17,71:17,72:17,,,
72,72:18,72:18,71:18,72:18,,,
72,72:19,72:19,71:19,72:19,,,
72,72:20,72:20,71:20,72:20,,,
73,73:0-73:1,73:0-73:1,72:1,73:0,,,
73,73:2,73:2,72:2,73:2,,,
73,73:3,73:3,72:3,73:3,,,
73,73:4,73:4,72:4,73:4,,,
73,73:5,73:5,72:5,73:5,,,
73,73:6,73:6,72:6,73:6,,,
73,73:7,73:7,72:7,73:7,,,
73,73:8,73:8,72:8,73:8,,,
73,73:9,73:9,72:9,73:9,,,
73,73:10,73:10,72:10,73:10,,,
73,73:11,73:11,72:11,73:11,,,
73,73:12,73:12,72:12,73:12,,,
73,73:13,73:13,72:13,73:13,,,
73,73:14,73:14,72:14,73:14,,,
73,73:15,73:15,72:15,73:15,,,
73,73:16,73:16,72:16,73:16,,,
73,73:17,73:17,72:17,73:17,,,
73,73:18,73:18,72:18,73:18,,,
73,73:19,73:19,72:19,73:19,,,
73,73:20,73:20,72:20,73:20,,,
73,73:21,73:21,72:21,73:21,,,
73,73:22,73:22,72:22,73:22,,,
73,73:23,73:23,72:23,73:23,,,
73,73:24,73:24,72:24,73:24,,,
73,73:25,73:25,72:25,73:25,,,
73,73:26,73:26,72:26,73:26,,,
73,73:27,73:27,72:27,73:27,,,
73,73:28,73:28,72:28,73:28,,,
74,74:0-74:1,74:0-74:1,73:1,74:0,,,
74,74:2,74:2,73:2,74:2,,,
74,74:3,74:3,73:3,74:3,,,
74,74:4,74:4,73:4,74:4,,,
74,74:5,74:5,73:5,74:5,,,
74,74:6,74:6,73:6,74:6,,,
74,74:7,74:7,73:7,74:7,,,
74,74:8,74:8,73:8,74:8,,,
74,74:9,74:9,73:9,74:9,,,
74,74:10,74:10,73:10,74:10,,,
74,74:11,74:11,73:11,74:11,,,
74,74:12,74:12,73:12,74:12,,,
74,74:13,74:13,73:13,74:13,,,
74,74:14,74:14,73:14,74:14,,,
74,74:15,74:15,73:15,74:15,,,
74,74:16,74:16,73:16,74:16,,,
74,74:17,74:17,73:17,74:17,,,
74,74:18,74:18,73:18,74:18,,,
74,74:19,74:19,73:19,74:19,,,
74,74:20,74:20,73:20,74:20,,,
74,74:21,74:21,73:21,74:21,,,
74,74:22,74:22,73:22,74:22,,,
74,74:23,74:23,73:23,74:23,,,
75,75:0,75:0,74:1,75:0,,,
75,75:1,75:1,74:2,75:1,,,
75,75:2,75:2,74:3,75:2,,,
75,75:3,75:3,74:4,75:3,,,
75,75:4,75:4,74:5,75:4,,,
75,75:5,75:5,74:6,75:5,,,
75,75:6,75:6,74:7,75:6,,,
75,75:7,75:7,74:8,75:7,,,
75,75:8,75:8,74:9,75:8,,,
75,75:9,75:9,74:10,75:9,,,
75,75:10,75:10,74:11,75:10,,,
76,76:0,76:0,75:1,76:0,,,
76,76:1,76:1,75:2,76:1,,,
76,76:2,76:2,75:3,76:2,,,
76,76:3,76:3,75:4,76:3,,,
76,76:4,76:4,75:5,76:4,,,
76,76:5,76:5,75:6,76:5,,,
76,76:6,76:6,75:7,76:6,,,
76,76:7,76:7,75:8,76:7,,,
76,76:8,76:8,75:9,76:8,,,
76,76:9,76:9,75:10,76:9,,,
76,76:10,76:10,75:11,76:10,,,
76,76:11,76:11,75:12,76:11,,,
76,76:12,76:12,75:13,76:12,,,
77,77:0,77:0,76:1,77:0,,,
77,77:1,77:1,76:2,77:1,,,
77,77:2,77:2,76:3,77:2,,,
77,77:3,77:3,76:4,77:3,,,
77,77:4,77:4,76:5,77:4,,,
77,77:5,77:5,76:6,77:5,,,
77,77:6,77:6,76:7,77:6,,,
77,77:7,77:7,76:8,77:7,,,
77,77:8,77:8,76:9,77:8,,,
77,77:9,77:9,76:10,77:9,,,
77,77:10,77:10,76:11,77:10,,,
77,77:11,77:11,76:12,77:11,,,
77,77:12,77:12,76:13,77:12,,,
77,77:13,77:13,76:14,77:13,,,
77,77:14,77:14,76:15,77:14,,,
77,77:15,77:15,76:16,77:15,,,
77,77:16,77:16,76:17,77:16,,,
77,77:17,77:17,76:18,77:17,,,
77,77:18,77:18,76:19,77:18,,,
77,77:19,77:19,76:20,77:19,,,
77,77:20,77:20,76:21,77:20,,,
78,78:0-78:1,78:0-78:1,77:1,78:0,,,
78,78:2,78:2,77:2,78:2,,,
78,78:3,78:3,77:3,78:3,,,
78,78:4,78:4,77:4,78:4,,,
78,78:5,78:5,77:5,78:5,,,
78,78:6,78:6,77:6,78:6,,,
78,78:7,78:7,77:7,78:7,,,
78,78:8,78:8,77:8,78:8,,,
78,78:9,78:9,77:9,78:9,,,
78,78:10,78:10,77:10,78:10,,,
78,78:11,78:11,77:11,78:11,,,
78,78:12,78:12,77:12,78:12,,,
78,78:13,78:13,77:13,78:13,,,
78,78:14,78:14,77:14,78:14,,,
78,78:15,78:15,77:15,78:15,,,
78,78:16,78:16,77:16,78:16,,,
78,78:17,78:17,77:17,78:17,,,
78,78:18,78:18,77:18,78:18,,,
78,78:19,78:19,77:19,78:19,,,
78,78:20,78:20,77:20,78:20,,,
78,78:21,78:21,77:21,78:21,,,
78,78:22,78:22,77:22,78:22,,,
78,78:23,78:23,77:23,78:23,,,
78,78:24,78:24,77:24,78:24,,,
78,78:25,78:25,77:25,78:25,,,
78,78:26,78:26,77:26,78:26,,,
78,78:27,78:27,77:27,78:27,,,
78,78:28,78:28,77:28,78:28,,,
78,78:29,78:29,77:29,78:29,,,
78,78:30,78:30,77:30,78:30,,,
78,78:31,78:31,77:31,78:31,,,
78,78:32,78:32,77:32,78:32,,,
78,78:33,78:33,77:33,78:33,,,
78,78:34,78:34,77:34,78:34,,,
78,78:35,78:35,77:35,78:35,,,
78,78:36,78:36,77:36,78:36,,,
78,78:37,78:37,77:37,78:37,,,
78,78:38,78:38,77:38,78:38,,,
78,78:39,78:39,77:39,78:39,,,
78,78:40,78:40,77:40,78:40,,,
78,78:41,78:41,77:41,78:41,,,
78,78:42,78:42,77:42,78:42,,,
78,78:43,78:43,77:43,78:43,,,
78,78:44,78:44,77:44,78:44,,,
78,78:45,78:45,77:45,78:45,,,
78,78:46,78:46,77:46,78:46,,,
78,78:47,78:47,77:47,78:47,,,
78,78:48,78:48,77:48,78:48,,,
78,78:49,78:49,77:49,78:49,,,
78,78:50,78:50,77:50,78:50,,,
78,78:51,78:51,77:51,78:51,,,
78,78:52,78:52,77:52,78:52,,,
78,78:53,78:53,77:53,78:53,,,
78,78:54,78:54,77:54,78:54,,,
78,78:55,78:55,77:55,78:55,,,
78,78:56,78:56,77:56,78:56,,,
78,78:57,78:57,77:57,78:57,,,
78,78:58,78:58,77:58,78:58,,,
78,78:59,78:59,77:59,78:59,,,
78,78:60,78:60,77:60,78:60,,,
78,78:61,78:61,77:61,78:61,,,
78,78:62,78:62,77:62,78:62,,,
78,78:63,78:63,77:63,78:63,,,
78,78:64,78:64,77:64,78:64,,,
78,78:65,78:65,77:65,78:65,,,
78,78:66,78:66,77:66,78:66,,,
78,78:67,78:67,77:67,78:67,,,
78,78:68,78:68,77:68,78:68,,,
78,78:69,78:69,77:69,78:69,,,
78,78:70,78:70,77:70,78:70,,,
78,78:71,78:71,77:71,78:71,,,
78,78:72,78:72,77:72,78:72,,,
79,79:0-79:1,79:0-79:1,78:1,79:0,,,
79,79:2,79:2,78:2,79:2,,,
79,79:3,79:3,78:3,79:3,,,
79,79:4,79:4,78:4,79:4,,,
79,79:5,79:5,78:5,79:5,,,
79,79:6,79:6,78:6,79:6,,,
79,79:7,79:7,78:7,79:7,,,
79,79:8,79:8,78:8,79:8,,,
79,79:9,79:9,78:9,79:9,,,
79,79:10,79:10,78:10,79:10,,,
79,79:11,79:11,78:11,79:11,,,
79,79:12,79:12,78:12,79:12,,,
79,79:13,79:13,78:13,79:13,,,
80,80:0,80:0,79:1,80:0,,,
80,80:1,80:1,79:2,80:1,,,
80,80:2,80:2,79:3,80:2,,,
80,80:3,80:3,79:4,80:3,,,
80,80:4,80:4,79:5,80:4,,,
80,80:5,80:5,79:6,80:5,,,
